lineage,suppressed_on,days,removed,min_coverage,group
lineage_02414,2024-08-29,588.5,0,26.0,redundant
lineage_00660,2023-02-28,1136.4,0,13.0,redundant
lineage_04641,2022-09-20,1297.6,0,,untagged
lineage_00796,2023-09-07,945.6,0,11.0,redundant
lineage_00885,2022-02-21,1508.6,0,87.0,redundant
lineage_03495,2022-03-18,1483.6,0,7.0,redundant
lineage_03495,2023-02-08,1156.3,0,7.0,redundant
lineage_01516,2025-11-10,150.5,0,18.0,redundant
lineage_01777,2024-01-15,815.4,0,18.0,redundant
lineage_00349,2021-11-29,1592.0,0,2.0,redundant
lineage_04067,2020-02-24,2236.4,0,30.0,redundant
lineage_04067,2020-11-05,1981.3,0,30.0,redundant
lineage_04067,2023-04-03,1102.6,0,30.0,redundant
lineage_02655,2023-04-03,1102.6,0,16.0,redundant
lineage_02655,2023-11-10,881.3,0,16.0,redundant
lineage_03504,2019-03-01,1794.6,1,13.0,redundant
lineage_00307,2022-10-20,1267.6,0,27.0,redundant
lineage_02094,2023-11-15,876.4,0,87.0,redundant
lineage_00094,2021-11-16,1605.5,0,,untagged
lineage_02405,2024-08-29,588.5,0,,untagged
lineage_03127,2022-02-01,1528.7,0,3.0,redundant
lineage_03127,2022-02-02,1527.8,0,3.0,redundant
lineage_03127,2023-10-04,918.3,0,3.0,redundant
lineage_01626,2020-11-28,1958.2,0,,untagged
lineage_02843,2022-12-22,1204.4,0,78.0,redundant
lineage_01538,2017-11-07,3075.5,0,10.0,redundant
lineage_01427,2018-09-04,2774.6,0,27.0,redundant
lineage_01427,2022-08-08,1340.5,0,27.0,redundant
lineage_01274,2023-08-22,961.6,0,,untagged
lineage_01274,2023-08-22,961.5,0,,untagged
lineage_01274,2024-03-13,757.4,0,,untagged
lineage_02910,2021-11-16,1605.1,0,1.0,singleton
lineage_02910,2021-12-04,1587.4,0,1.0,singleton
lineage_02910,2021-12-13,1578.2,0,1.0,singleton
lineage_02910,2022-01-02,1558.6,0,1.0,singleton
lineage_02910,2022-02-07,1522.5,0,1.0,singleton
lineage_02910,2022-02-08,1.4,1,1.0,singleton
lineage_02910,2022-02-10,1519.4,0,1.0,singleton
lineage_02910,2022-03-15,1486.3,0,1.0,singleton
lineage_02910,2022-11-08,390.5,1,1.0,singleton
lineage_02910,2023-01-18,319.3,1,1.0,singleton
lineage_02910,2023-01-18,116.8,1,1.0,singleton
lineage_02910,2025-12-09,121.9,0,1.0,singleton
lineage_00033,2021-10-28,1476.7,1,76.0,redundant
lineage_00900,2022-07-21,1358.1,0,,untagged
lineage_04262,2025-10-09,182.5,0,,untagged
lineage_01567,2025-10-09,182.5,0,90.0,redundant
lineage_00293,2022-03-03,1498.4,0,76.0,redundant
lineage_00293,2022-03-04,1497.3,0,76.0,redundant
lineage_00293,2022-03-05,1496.6,0,76.0,redundant
lineage_00293,2022-09-21,1296.6,0,76.0,redundant
lineage_00293,2022-09-21,1296.5,0,76.0,redundant
lineage_00293,2022-10-20,1267.6,0,76.0,redundant
lineage_00293,2023-01-19,1176.3,0,76.0,redundant
lineage_00293,2025-07-14,269.6,0,76.0,redundant
lineage_00293,2025-10-09,182.5,0,76.0,redundant
lineage_01643,2021-11-11,1610.3,0,,untagged
lineage_01643,2021-11-20,1601.5,0,,untagged
lineage_01643,2021-12-06,1585.4,0,,untagged
lineage_01398,2021-06-02,1772.5,0,22.0,redundant
lineage_01111,2021-11-11,1610.3,0,1.0,singleton
lineage_03855,2022-02-10,1519.4,0,76.0,redundant
lineage_03855,2022-04-06,1464.4,0,76.0,redundant
lineage_01791,2022-09-21,1296.5,0,4.0,redundant
lineage_01791,2023-01-19,1176.3,0,4.0,redundant
lineage_01013,2022-04-21,1449.6,0,1.0,singleton
lineage_01586,2022-04-29,1441.5,0,8.0,redundant
lineage_01586,2025-10-09,182.5,0,8.0,redundant
lineage_01586,2025-10-23,168.9,0,8.0,redundant
lineage_01306,2022-02-09,1520.3,0,4.0,redundant
lineage_01306,2022-09-18,1299.4,0,4.0,redundant
lineage_02418,2022-06-04,1405.6,0,32.0,redundant
lineage_02418,2023-01-18,1177.3,0,32.0,redundant
lineage_00883,2022-02-16,1513.4,0,32.0,redundant
lineage_00883,2022-03-04,1497.3,0,32.0,redundant
lineage_00883,2022-03-05,1496.6,0,32.0,redundant
lineage_00883,2022-04-06,1464.4,0,32.0,redundant
lineage_00385,2022-02-16,1513.4,0,32.0,redundant
lineage_00385,2022-07-27,1352.7,0,32.0,redundant
lineage_00385,2022-09-21,1296.5,0,32.0,redundant
lineage_00498,2021-12-07,1584.2,0,32.0,redundant
lineage_00498,2021-12-18,1573.8,0,32.0,redundant
lineage_00498,2021-12-19,1572.6,0,32.0,redundant
lineage_00498,2022-03-03,1498.2,0,32.0,redundant
lineage_00498,2022-03-04,1497.3,0,32.0,redundant
lineage_00498,2022-04-06,1464.4,0,32.0,redundant
lineage_00498,2022-08-23,1325.5,0,32.0,redundant
lineage_00498,2022-08-23,1325.5,0,32.0,redundant
lineage_00498,2022-09-21,1296.5,0,32.0,redundant
lineage_00498,2022-10-18,1269.4,0,32.0,redundant
lineage_00498,2025-10-09,182.5,0,32.0,redundant
lineage_00498,2025-10-17,174.9,0,32.0,redundant
lineage_02194,2022-03-03,1498.2,0,32.0,redundant
lineage_02194,2022-04-21,1449.6,0,32.0,redundant
lineage_02194,2022-04-28,1442.2,0,32.0,redundant
lineage_02194,2022-07-06,1373.4,0,32.0,redundant
lineage_02194,2025-07-08,275.6,0,32.0,redundant
lineage_02194,2025-10-09,182.5,0,32.0,redundant
lineage_00539,2022-02-16,1513.4,0,32.0,redundant
lineage_00577,2022-02-16,1513.4,0,32.0,redundant
lineage_00577,2022-03-03,1498.2,0,32.0,redundant
lineage_00577,2022-06-13,1396.5,0,32.0,redundant
lineage_00577,2025-10-09,182.5,0,32.0,redundant
lineage_00199,2022-01-08,1552.4,0,32.0,redundant
lineage_00199,2022-02-16,1513.4,0,32.0,redundant
lineage_00855,2021-12-19,1572.6,0,32.0,redundant
lineage_00855,2022-02-16,1513.4,0,32.0,redundant
